Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,13620714,21D070007_21D070068,"2025-04-19 17:04:20",59.3889,23,"adgdpd,shounakd"
2,13630243,24D1383_24D1384,"2025-04-14 20:30:28",59.2826,19,"aminurhossain,daniilnoobov"
3,13620517,23m2161,"2025-04-17 05:55:47",58.6812,12,saivivekmulukuri
4,13620629,24M2155_24M2161,"2025-04-19 18:01:00",58.6336,10,"nac24m2161,ritik2024"
5,13621742,22b3982_200070065,"2025-04-18 14:15:44",58.5604,16,"anupamkaggleuser,opt010"
6,13655317,sriharshamoparthy,"2025-04-18 09:06:19",58.2649,7,sriharshamoparthy
7,13656482,supe.one.0,"2025-04-19 13:37:12",58.1943,3,supeone0
8,13692727,23b0932_23b0956,"2025-04-19 16:38:20",57.9379,3,siddhantmulkikar
9,13635205,24M1062_24M2159,"2025-04-18 14:41:36",57.8644,2,"neha24m2159,serious47sam"
10,13621125,24m2153_24m2154,"2025-04-19 17:03:02",57.7214,14,"riteshchowdhuryiitb,utkarsh24m2153"
11,13692712,"Shivam Chaubey","2025-04-19 17:07:08",57.6337,1,shivamchaubey2006
12,13691796,Manish785,"2025-04-19 17:16:22",57.6304,5,manish785
13,13627019,23D1600_23D1601,"2025-04-19 13:31:42",57.5706,12,"kaustubhatey,sandeepkumar96808"
14,13650525,210040159_210110014,"2025-04-19 17:46:57",57.4305,15,"akshattaparia,tanishkapradhan"
15,13625408,21D070029_210070088,"2025-04-19 16:14:15",57.3918,2,"shreyasgrampurohit,sujayiitb"
16,13660823,24M0312_24M0309_2,"2025-04-19 10:14:01",57.3445,6,jayantghadge
17,13660968,21D070080_21D070075,"2025-04-19 16:17:59",57.3213,8,"soumyadeepj,tanmay853"
18,13641785,22b0951_24m2157,"2025-04-11 12:38:00",57.2847,4,"kanakbarfa,saikirankasturi2502"
19,13620875,24m2156_24m2129,"2025-04-19 14:54:08",57.2285,10,"abhishek24m2156,anasanwarulhaqkhan"
20,13650744,"Anuj Yadav(24m2012)","2025-04-12 10:05:39",57.1993,5,anujyadav31
21,13674624,24D0518_21D070023,"2025-04-15 15:31:54",56.9473,1,pankajsharma111
22,13639310,24M0301_24M0321,"2025-04-19 15:45:47",56.8608,5,vaibhavsonkar
23,13620719,22B3929_22B3937,"2025-04-18 13:41:27",56.8551,13,"amanverma547,cherishjain"
24,13662459,22b1000_22b1042,"2025-04-14 10:34:12",56.7495,2,"siribhogi123,varthikareddy"
25,13621577,24M0319_24M0326,"2025-04-19 15:15:51",56.5913,5,rajashsankarbordoloi
26,13691784,22b1047_24m0322,"2025-04-19 18:15:15",56.5751,7,"jalajakshi,saritayadav1611"
27,13656015,210070067_21d070032,"2025-04-19 12:22:10",56.5702,16,"nikita9960,redsne"
28,13685780,22b1282_22b1004,"2025-04-19 18:02:16",56.4664,3,"adwaikrishna,svanikgade"
29,13626061,20D070036_20D110018,"2025-04-19 12:37:03",56.3192,7,"harshwardhan2002,ramkandalkar"
30,13641217,210260022_210100150,"2025-04-17 13:25:55",56.2863,1,"shubhamingaleiitb,specialsak29"
31,13628417,24M0313_24M0315,"2025-04-19 18:19:19",56.1558,4,pannnnnnnn
32,13662835,23b0059_23b1522,"2025-04-19 16:30:14",56.1388,4,"jashd11,ratankokal"
33,13637903,24m0308_24m0305,"2025-04-19 17:25:44",56.0369,7,"ariyakannan,chaitanyalodha"
34,13643033,Pramod,"2025-04-19 14:20:22",55.8986,4,jrntr123
35,13621237,210100001_210020054,"2025-04-16 12:52:28",55.7643,2,aadishsethiya555
36,13657551,210050054_210050112,"2025-04-13 09:03:37",55.6569,1,lohith9923
37,13620822,23M2163_23M2164,"2025-04-19 16:51:28",55.4779,6,"kotaproluhemanth,manishitkundu"
38,13657684,23B3323_23B2258,"2025-04-19 17:44:10",55.2977,2,"geetsethi,panavshah"
39,13628553,22b1542_22b1510,"2025-04-16 08:40:29",55.2404,3,"jayjiteshjoshina,shreyaskulkarniiitb"
40,13665645,22b2424_22b2540,"2025-04-19 15:02:21",55.0994,2,abhishekhazra
41,13683522,20d110016,"2025-04-19 17:24:41",54.9226,3,sourabhkumarmandal
42,13625892,23M1069_23M1190,"2025-04-19 18:18:59",54.7607,7,chanchal2125
43,13696266,22B0051_22B2472,"2025-04-19 13:09:50",54.7264,1,ayush1081
44,13695467,23m2160_23m2159,"2025-04-19 15:24:39",54.4069,5,aasnegha
45,13627578,22b2104_22b0352,"2025-04-19 12:41:25",53.4314,5,"danishsiddiqui2569,susmit1"
46,13692125,23b2260_210100167,"2025-04-19 06:17:30",53.3560,5,"rudra616,vedantkashyap15"
47,13676063,22B0431_22B0377,"2025-04-19 17:57:54",52.9127,5,aditya94714
48,13639309,"24m0317 and 24m0604","2025-04-19 15:10:07",52.4073,2,adarshgupta300426
49,13695607,"[Deleted] 9dad487f-7b3c-4d45-9af5-d7061a249575","2025-04-19 09:57:19",52.1477,1,del=3191963518abfcd5
50,13696168,210040085_210010069,"2025-04-19 17:21:39",50.7970,1,"mahek2501,vamshikasutar"
51,13657617,21D171001_22b3976,"2025-04-19 18:20:40",50.6119,4,"akashpalaniswami,rahulbiitb"
52,13623397,210070085_21D070050,"2025-04-19 17:08:14",50.2589,5,siddhant3c
53,13632844,22B2169_22B2275,"2025-04-19 09:04:57",49.6406,4,parry1824
54,13692208,24M2572_24D1623,"2025-04-18 11:16:22",49.5948,1,swapnasourav
0,13635064,baseline.csv,"2025-04-06 05:09:21",47.8964,1,
55,13664958,belowbaseline,"2025-04-19 14:22:31",47.3274,14,"sidappointed,sidmulkikar,tejaszz"
56,13691185,dvs_4078,"2025-04-19 08:19:37",47.1034,2,dvs4078
57,13637878,22B2101_22B2187,"2025-04-19 08:58:20",46.1343,1,"ashutoshagarwal111,jayeshah"
58,13619479,SarthakM777,"2025-04-06 05:21:33",17.2625,1,sarthakm777
59,13695260,21d100021,"2025-04-19 18:03:58",12.3455,2,gopinathtejavath
60,13618321,SarthakM320,"2025-04-05 21:26:46",7.4767,1,sarthakm320
